cosmo_name,smiles,inchi,cosmo_conf,source
"2,2'-thiobisethanol",OCCSCCO,"InChI=1/C4H10O2S/c5-1-3-7-4-2-6/h5-6H,1-4H2",22,COSMObase
2-(2-aminoethoxy)ethanol,OCCOCCN,"InChI=1/C4H11NO2/c5-1-3-7-4-2-6/h6H,1-5H2",19,COSMObase
cyanoaceticacidmethylester,COC(CC#N)=O,"InChI=1/C4H5NO2/c1-7-4(6)2-3-5/h2H2,1H3",2,COSMObase
gamma-butyrolactone,O=C1CCCO1,InChI=1/C4H6O2/c5-4-2-1-3-6-4/h1-3H2,1,COSMObase
propylenecarbonate,CC1OC(OC1)=O,"InChI=1/C4H6O3/c1-3-2-6-4(5)7-3/h3H,2H2,1H3",1,COSMObase
butanal,CCCC=O,"InChI=1/C4H8O/c1-2-3-4-5/h4H,2-3H2,1H3",2,COSMObase
butoxide,CCC1OC1,"InChI=1/C4H8O/c1-2-4-3-5-4/h4H,2-3H2,1H3",2,COSMObase
"tetrahydrothiophene-1,1-dioxide",O=S1(CCCC1)=O,InChI=1/C4H8O2S/c5-7(6)3-1-2-4-7/h1-4H2,1,COSMObase
2-chlorobutane,CCC(C)Cl,"InChI=1/C4H9Cl/c1-3-4(2)5/h4H,3H2,1-2H3",1,COSMObase
2-chloro-2-methylpropane,CC(C)(C)Cl,"InChI=1/C4H9Cl/c1-4(2,3)5/h1-3H3",1,COSMObase
1-chloro-2-methyl-propane,ClCC(C)C,"InChI=1/C4H9Cl/c1-4(2)3-5/h4H,3H2,1-2H3",1,COSMObase
n-ethylacetamide,CCNC(C)=O,"InChI=1/C4H9NO/c1-3-5-4(2)6/h3H2,1-2H3,(H,5,6)/f/h5H",2,COSMObase
"1,3-dimethyl-2-imidazolidinone",CN1CCN(C)C1=O,"InChI=1/C5H10N2O/c1-6-3-4-7(2)5(6)8/h3-4H2,1-2H3",1,COSMObase
thp,O1CCCCC1,InChI=1/C5H10O/c1-2-4-6-5-3-1/h1-5H2,1,COSMObase
tetrahydrofurfurylalcohol,OCC1CCCO1,"InChI=1/C5H10O2/c6-4-5-2-1-3-7-5/h5-6H,1-4H2",11,COSMObase
"3-methyl-tetrahydrothiophene-1,1-dioxide",CC(CC1)CS1(=O)=O,"InChI=1/C5H10O2S/c1-5-2-3-8(6,7)4-5/h5H,2-4H2,1H3",1,COSMObase
1-methyl-pyrrolidine,CN1CCCC1,"InChI=1/C5H11N/c1-6-4-2-3-5-6/h2-5H2,1H3",1,COSMObase
methyln-butylether,COCCCC,"InChI=1/C5H12O/c1-3-4-5-6-2/h3-5H2,1-2H3",2,COSMObase
2-pentanol,CCCC(O)C,"InChI=1/C5H12O/c1-3-4-5(2)6/h5-6H,3-4H2,1-2H3",4,COSMObase
ethylpropylether,CCOCCC,"InChI=1/C5H12O/c1-3-5-6-4-2/h3-5H2,1-2H3",2,COSMObase
2-methyl-2-butanol,CCC(O)(C)C,"InChI=1/C5H12O/c1-4-5(2,3)6/h6H,4H2,1-3H3",5,COSMObase
methyl-t-butylether,COC(C)(C)C,"InChI=1/C5H12O/c1-5(2,3)6-4/h1-4H3",1,COSMObase
2-propoxyethanol,OCCOCCC,"InChI=1/C5H12O2/c1-2-4-7-5-3-6/h6H,2-5H2,1H3",13,COSMObase
2-isopropoxyethanol,OCCOC(C)C,"InChI=1/C5H12O2/c1-5(2)7-4-3-6/h5-6H,3-4H2,1-2H3",9,COSMObase
